categoria,subcategoria,pregunta,respuesta
PRODUCTIVIDAD,Indicadores Nacionales,"¿Qué productividad se logró en Colombia en el 2020?","La productividad promedio nacional en 2020 fue de 19,4 sacos de café verde por hectárea o 119 arrobas de café pergamino seco por hectárea por año, representando un valor histórico."
PRODUCTIVIDAD,Indicadores Nacionales,"¿Cuántas arrobas de café pergamino seco se produjeron por hectárea en 2020?","En 2020 se produjeron 119 arrobas de café pergamino seco por hectárea al año en promedio nacional, que equivalen a 19,4 sacos de café verde por hectárea."
PRÁCTICAS AGRONÓMICAS,Estrategia FNC,"¿Cuáles son las 8 prácticas agronómicas fundamentales de la estrategia 'Más Agronomía, Más Productividad, Más Calidad'?","Las 8 prácticas son: 1) Sembrar variedades mejoradas con resistencia durable a la roya, 2) Utilizar colinos de café de origen conocido, 3) Sembrar o renovar en épocas correctas, 4) Establecer densidad de siembra óptima, 5) Definir ciclos de renovación para mantener cultivos jóvenes, 6) Conocer y corregir la acidez del suelo, 7) Nutrir apropiadamente los cultivos, 8) Manejar la luminosidad del cultivo."
PRÁCTICAS AGRONÓMICAS,Estrategia FNC,"¿Qué prácticas incluye la estrategia 'Más Agronomía, Más Productividad, Más Calidad'?","Incluye 8 prácticas clave: uso de variedades resistentes a roya, colinos de origen conocido, siembra en épocas correctas, densidad óptima, ciclos de renovación definidos, manejo de acidez del suelo, nutrición apropiada y manejo de luminosidad."
PRÁCTICAS AGRONÓMICAS,Estrategia FNC,Enumere las prácticas de la estrategia de la Federación de Cafeteros,"Son 8 prácticas: sembrar variedades mejoradas resistentes, usar colinos certificados, sembrar en épocas adecuadas, establecer densidad óptima de siembra, definir ciclos de renovación, corregir acidez del suelo, nutrir adecuadamente y manejar la luz del cultivo."
PRÁCTICAS AGRONÓMICAS,Estrategia FNC,¿Cuál es la estrategia técnica de la Federación para mejorar la productividad?,"La estrategia 'Más Agronomía, Más Productividad, Más Calidad' enfatiza 8 prácticas: variedades resistentes, colinos certificados, épocas de siembra correctas, densidad apropiada, renovación oportuna, corrección de acidez, fertilización adecuada y manejo de sombrío."
VARIEDADES DE CAFÉ,Cenicafé 1,¿Cuántas progenies componen la variedad Cenicafé 1 y cuál es su rango de producción?,"La variedad Cenicafé 1 está compuesta por 8 progenies con un rango de producción de 16,7 a 18,6 kg de café cereza por árbol en un ciclo de cuatro cosechas, con un porcentaje de café supremo entre 83,7% y 85,0%."
VARIEDADES DE CAFÉ,Cenicafé 1,¿De cuántas progenies está formada Cenicafé 1?,"Cenicafé 1 está formada por 8 progenies diferentes, que producen entre 16,7 y 18,6 kg de café cereza por árbol en cuatro cosechas, logrando 83,7% a 85,0% de café supremo."
VARIEDADES DE CAFÉ,Cenicafé 1,¿Qué producción tiene la variedad Cenicafé 1?,"La variedad Cenicafé 1, compuesta de 8 líneas genéticas, produce de 16,7 a 18,6 kilogramos de café cereza por árbol en un ciclo de cuatro cosechas, con café supremo del 83,7% al 85,0%."
VARIEDADES DE CAFÉ,Cenicafé 1,¿Cuál es el rendimiento de Cenicafé 1 por árbol?,"Cenicafé 1 rinde entre 16,7 y 18,6 kg de café cereza por árbol en un periodo de cuatro cosechas, con 8 progenies y un rango de café supremo de 83,7% a 85,0%."
VARIEDADES DE CAFÉ,Comparación de Variedades,¿En qué se diferencia la variedad Cenicafé 1 de la Variedad Castillo®?,"La variedad Cenicafé 1 se caracteriza por presentar porte tipo Caturra, mientras que Castillo® tiene porte intermedio. Cenicafé 1 tiene un porcentaje de café supremo superior al de Castillo® (83,7-85,0% vs 73,9-81,0%). Ambas tienen resistencia a la roya y alta productividad."
VARIEDADES DE CAFÉ,Comparación de Variedades,¿Qué diferencias hay entre Cenicafé 1 y Castillo®?,"Las principales diferencias son: Cenicafé 1 tiene porte bajo tipo Caturra versus porte intermedio de Castillo®; Cenicafé 1 produce más café supremo (83,7-85,0%) que Castillo® (73,9-81,0%); ambas son resistentes a roya y productivas."
VARIEDADES DE CAFÉ,Comparación de Variedades,¿Cómo se compara Cenicafé 1 con Castillo®?,"Cenicafé 1 presenta porte más bajo (tipo Caturra) comparado con el porte intermedio de Castillo®. Cenicafé 1 supera a Castillo® en café supremo con 83,7-85,0% versus 73,9-81,0%. Las dos variedades son resistentes a la roya."
VARIEDADES DE CAFÉ,Comparación de Variedades,Diferencias entre las variedades Cenicafé 1 y Castillo®,"Cenicafé 1 tiene porte Caturra (más bajo) y Castillo® porte intermedio. El porcentaje de café supremo es mayor en Cenicafé 1 (83,7-85,0%) que en Castillo® (73,9-81,0%). Ambas comparten resistencia a roya y alta productividad."
VARIEDADES DE CAFÉ,Áreas de Influencia,¿Cuáles son los departamentos incluidos en el área de influencia de Castillo® zona Norte?,"Los departamentos incluidos son: Bolívar, Boyacá, Caquetá, Casanare, Cesar, Cundinamarca, La Guajira, Magdalena, Meta, Norte de Santander, Putumayo y Santander."
VARIEDADES DE CAFÉ,Áreas de Influencia,¿Dónde se debe sembrar Castillo® zona Norte?,"Castillo® zona Norte debe sembrarse en los departamentos de: Bolívar, Boyacá, Caquetá, Casanare, Cesar, Cundinamarca, La Guajira, Magdalena, Meta, Norte de Santander, Putumayo y Santander."
VARIEDADES DE CAFÉ,Áreas de Influencia,¿En qué departamentos aplica la variedad Castillo® zona Norte?,"La variedad Castillo® zona Norte está adaptada para: Bolívar, Boyacá, Caquetá, Casanare, Cesar, Cundinamarca, La Guajira, Magdalena, Meta, Norte de Santander, Putumayo y Santander."
VARIEDADES DE CAFÉ,Áreas de Influencia,Zona de influencia de Castillo® Norte,"El área de influencia de Castillo® zona Norte abarca 12 departamentos: Bolívar, Boyacá, Caquetá, Casanare, Cesar, Cundinamarca, La Guajira, Magdalena, Meta, Norte de Santander, Putumayo y Santander."
ECONOMÍA CAFETERA,Beneficios Económicos,¿Cuál es el ahorro estimado para Colombia por el uso de variedades resistentes a la roya?,"Se estima que Colombia, con un 76% del área sembrada con variedades resistentes a la roya, se ahorra anualmente cerca de 200 millones de dólares por no requerirse control químico de esta enfermedad. El ahorro total nacional es de aproximadamente 525 mil millones de pesos."
ECONOMÍA CAFETERA,Beneficios Económicos,¿Cuánto dinero ahorra Colombia usando variedades resistentes a roya?,"Colombia ahorra aproximadamente 200 millones de dólares anuales (cerca de 525 mil millones de pesos) por no necesitar control químico de roya en el 76% del área cafetera que usa variedades resistentes."
ECONOMÍA CAFETERA,Beneficios Económicos,¿Qué beneficio económico tienen las variedades resistentes a roya?,"Las variedades resistentes generan un ahorro anual de alrededor de 200 millones de dólares (525 mil millones de pesos) para Colombia, al eliminar la necesidad de control químico de roya en el 76% del área cultivada."
ECONOMÍA CAFETERA,Beneficios Económicos,Ahorro nacional por variedades resistentes,"El uso de variedades resistentes a roya en el 76% del área cafetera nacional representa un ahorro de cerca de 200 millones de dólares por año (aproximadamente 525 mil millones de pesos) en costos de control químico."
SANIDAD VEGETAL,Costos de Control,¿Cuál es el costo anual del control de la roya por hectárea?,"El costo del control de la roya es de $750,000 por hectárea al año, considerando la aplicación de fungicidas como cyproconazole (Alto 100 SL) en tres aplicaciones anuales utilizando una fumigadora de presión previa retenida."
SANIDAD VEGETAL,Costos de Control,¿Cuánto cuesta controlar la roya por hectárea?,"Controlar la roya cuesta $750,000 por hectárea anualmente, incluyendo tres aplicaciones de fungicidas como cyproconazole con fumigadora de presión previa retenida."
SANIDAD VEGETAL,Costos de Control,Costo de manejo de roya por ha,"El manejo de roya tiene un costo de $750,000 por hectárea al año, considerando tres aplicaciones anuales de fungicidas tipo cyproconazole (Alto 100 SL) con equipo de aspersión apropiado."
SANIDAD VEGETAL,Costos de Control,¿Cuánto se gasta en control de roya?,"El gasto anual en control de roya es de $750,000 por hectárea, basado en tres aplicaciones de fungicida cyproconazole usando fumigadora de presión previa retenida."
SANIDAD VEGETAL,Enfermedades - Roya,¿Cuáles son las pérdidas estimadas por la roya en variedades susceptibles?,"En variedades susceptibles, las pérdidas pueden ser del 23% en escenarios climáticos desfavorables para la roya, y hasta del 50% en escenarios climáticos favorables para la enfermedad (año La Niña), en un ciclo acumulado de cuatro cosechas."
SANIDAD VEGETAL,Enfermedades - Roya,¿Qué porcentaje de pérdidas causa la roya en variedades no resistentes?,"La roya causa pérdidas del 23% en condiciones climáticas desfavorables para la enfermedad, pero puede alcanzar hasta 50% de pérdidas en condiciones favorables como La Niña, considerando cuatro cosechas acumuladas en variedades susceptibles."
SANIDAD VEGETAL,Enfermedades - Roya,Pérdidas por roya en cafetales susceptibles,"Los cafetales con variedades susceptibles pueden perder entre 23% (clima desfavorable para roya) hasta 50% (clima favorable - La Niña) de su producción en un ciclo de cuatro cosechas."
SANIDAD VEGETAL,Enfermedades - Roya,¿Cuánto se pierde por roya sin variedades resistentes?,"Sin usar variedades resistentes, las pérdidas por roya oscilan entre 23% y 50% de la producción acumulada en cuatro cosechas, dependiendo de si las condiciones climáticas favorecen o no el desarrollo de la enfermedad."
ÉPOCAS DE SIEMBRA,Calendario Regional,¿Cuándo debe sembrarse el café en la región de Antioquia?,"En Antioquia, el germinador debe iniciarse en agosto o enero, el almácigo en octubre o marzo, y la siembra en el campo debe realizarse en abril o septiembre."
ÉPOCAS DE SIEMBRA,Calendario Regional,¿Cuáles son las épocas de siembra en Antioquia?,"Para Antioquia: inicie el germinador en agosto o enero, trasplante al almácigo en octubre o marzo, y siembre en campo definitivo en abril o septiembre."
ÉPOCAS DE SIEMBRA,Calendario Regional,Calendario de siembra para Antioquia,"En Antioquia el calendario es: germinador (agosto o enero), almácigo (octubre o marzo), siembra en campo (abril o septiembre)."
ÉPOCAS DE SIEMBRA,Calendario Regional,¿En qué meses se siembra café en Antioquia?,"En Antioquia se siembra café en campo en abril o septiembre, habiendo iniciado el germinador 8 meses antes (agosto o enero) y el almácigo 6 meses antes (octubre o marzo)."
ÉPOCAS DE SIEMBRA,Calendario Regional,¿Cuándo debe sembrarse el café en el departamento del Cauca?,"En Cauca, el germinador debe iniciarse en febrero, el almácigo en abril, y la siembra en el campo debe realizarse en octubre."
ÉPOCAS DE SIEMBRA,Calendario Regional,¿Cuál es la época de siembra en Cauca?,"En Cauca: germinador en febrero, almácigo en abril, siembra definitiva en octubre."
ÉPOCAS DE SIEMBRA,Calendario Regional,Calendario cafetero del Cauca,"Para el Cauca: inicie germinador en febrero, almácigo dos meses después en abril, y lleve al campo en octubre (seis meses después del almácigo)."
ÉPOCAS DE SIEMBRA,Calendario Regional,¿En qué mes se siembra café en Cauca?,"En Cauca la siembra en campo se realiza en octubre, habiendo iniciado el germinador en febrero y el almácigo en abril."
ÉPOCAS DE SIEMBRA,Importancia,¿Por qué es importante sembrar en las épocas recomendadas?,"Sembrar en las épocas recomendadas evita el retraso en el crecimiento o muerte de las plantas por falta de agua en los meses posteriores a la siembra. Las épocas recomendadas garantizan que el suelo tenga condiciones de humedad adecuadas para el crecimiento del cafeto con suficiente duración para asegurar el establecimiento de las plantas."
ÉPOCAS DE SIEMBRA,Importancia,¿Qué pasa si no siembro en la época correcta?,"Si no se siembra en la época correcta, las plantas pueden sufrir retraso en el crecimiento o incluso morir por falta de agua. Las épocas recomendadas aseguran humedad adecuada del suelo durante el tiempo necesario para el establecimiento."
ÉPOCAS DE SIEMBRA,Importancia,Importancia de las épocas de siembra,"Las épocas de siembra son importantes porque garantizan condiciones óptimas de humedad en el suelo para el crecimiento y establecimiento del café, evitando pérdidas por falta de agua que causan muerte o retraso de las plantas."
ÉPOCAS DE SIEMBRA,Importancia,¿Por qué respetar el calendario de siembra?,"Respetar el calendario de siembra es fundamental para asegurar disponibilidad de agua y humedad del suelo durante el periodo crítico de establecimiento, previniendo la muerte o el pobre desarrollo de las plantas de café."
ÉPOCAS DE SIEMBRA,Fenómeno El Niño,¿Cómo afecta El Niño a las épocas de siembra del café?,"Durante El Niño disminuye la cantidad de lluvia en el período húmedo y se acentúa la magnitud y duración del período seco, con aumentos de temperatura y radiación solar. Durante la mayor actividad de El Niño, especialmente para eventos moderados a fuertes, resulta de alto riesgo la siembra del café por muerte de las plantas en el campo."
ÉPOCAS DE SIEMBRA,Fenómeno El Niño,¿Se puede sembrar café durante El Niño?,"Durante El Niño, especialmente eventos moderados a fuertes, la siembra de café es de alto riesgo debido a la disminución de lluvias, períodos secos más largos e intensos, y aumento de temperatura y radiación solar que pueden causar muerte de plantas."
ÉPOCAS DE SIEMBRA,Fenómeno El Niño,Efectos de El Niño en la siembra de café,"El Niño reduce las lluvias, prolonga e intensifica los períodos secos, y aumenta la temperatura y radiación solar. En eventos moderados a fuertes, sembrar café es muy riesgoso por alta mortalidad de plantas."
ÉPOCAS DE SIEMBRA,Fenómeno El Niño,¿Qué sucede si siembro durante fenómeno de El Niño?,"Si siembra durante El Niño, las plantas enfrentan menos lluvia, sequías más prolongadas e intensas, mayor temperatura y radiación solar. En eventos moderados a fuertes, esto resulta en alto riesgo de muerte de las plantas."
ÉPOCAS DE SIEMBRA,Manejo en El Niño,¿Qué recomendaciones se dan para sembrar café durante El Niño?,"Se recomienda utilizar sombrío transitorio sembrando leguminosas como tefrosia, guandul o crotalaria. Usar coberturas en el plato del árbol para conservar humedad. No se recomienda la siembra de cultivos intercalados como fríjol o maíz. Se pueden adelantar labores de zoqueo y aprovechar el material de ramas cortadas para cubrir el plato del árbol."
ÉPOCAS DE SIEMBRA,Manejo en El Niño,¿Cómo sembrar café si hay El Niño?,"Durante El Niño use sombrío transitorio (tefrosia, guandul, crotalaria), aplique coberturas en el plato para retener humedad, evite intercalar fríjol o maíz, y puede hacer zoqueos aprovechando las ramas como cobertura."
ÉPOCAS DE SIEMBRA,Manejo en El Niño,Manejo de siembras en época de El Niño,"En El Niño: establecer sombrío transitorio con leguminosas, usar coberturas vegetales en platos, no intercalar cultivos anuales, adelantar zoqueos y usar las ramas podadas como mulch para conservar humedad."
ÉPOCAS DE SIEMBRA,Manejo en El Niño,Prácticas recomendadas para siembra en El Niño,"Las prácticas para El Niño incluyen: plantar leguminosas (tefrosia, guandul, crotalaria) como sombrío, colocar coberturas en el plato del árbol, no sembrar intercalados, y utilizar material de podas como cobertura."
SEMILLA Y ALMÁCIGOS,Germinador,¿Cuánto tiempo debe estar la semilla en el germinador antes del trasplante?,"La semilla debe estar en los germinadores entre 6 y 8 meses antes del trasplante definitivo en el campo; de este período, dos meses corresponden a la etapa del germinador, y 4 a 6 meses a la etapa de almácigo. En zonas con temperatura media inferior a 19°C, debe estar 8 a 10 meses antes."
SEMILLA Y ALMÁCIGOS,Germinador,¿Cuál es el tiempo total desde germinador hasta siembra?,"El tiempo total es de 6 a 8 meses: 2 meses en germinador y 4 a 6 meses en almácigo. En zonas frías (temperatura promedio < 19°C), se requieren 8 a 10 meses en total."
SEMILLA Y ALMÁCIGOS,Germinador,Tiempo de permanencia en germinador y almácigo,"Las semillas permanecen 2 meses en germinador y 4-6 meses en almácigo, totalizando 6-8 meses hasta el trasplante. En climas fríos (< 19°C) se extiende a 8-10 meses."
SEMILLA Y ALMÁCIGOS,Germinador,¿Cuántos meses de almácigo necesita el café?,"El café necesita 4 a 6 meses en almácigo (después de 2 meses en germinador), completando 6-8 meses antes del trasplante definitivo. En zonas frías el tiempo aumenta a 8-10 meses."
SEMILLA Y ALMÁCIGOS,Características de Semilla,¿Cuántas semillas contiene 1 kg de semilla de café?,"1,0 kg de semilla con 11,5% de humedad y granulometría por encima de la malla 14 contiene más de 4,000 semillas, de las cuales más del 75% germina."
SEMILLA Y ALMÁCIGOS,Características de Semilla,¿Cuántas semillas hay en un kilogramo?,"Un kilogramo de semilla (11,5% humedad, malla > 14) contiene más de 4,000 semillas con germinación superior al 75%."
SEMILLA Y ALMÁCIGOS,Características de Semilla,Cantidad de semillas por kg,"1 kg de semilla de café (humedad 11,5%, tamaño > malla 14) = más de 4,000 semillas, con tasa de germinación > 75%."
SEMILLA Y ALMÁCIGOS,Características de Semilla,¿Qué rendimiento tiene la semilla de café?,"La semilla de café rinde más de 4,000 unidades por kilogramo (con 11,5% humedad y granulometría > malla 14) y tiene germinación superior al 75%."
SEMILLA Y ALMÁCIGOS,Germinación,¿Cuánto tiempo tarda en germinar la semilla de café?,"Las semillas con pergamino germinan después de 50 a 70 días, mientras que aquellas que no lo tienen germinan 20 días antes."
SEMILLA Y ALMÁCIGOS,Germinación,¿Cuántos días demora la germinación del café?,"La germinación toma 50-70 días para semilla con pergamino, y aproximadamente 30-50 días para semilla sin pergamino (20 días menos)."
SEMILLA Y ALMÁCIGOS,Germinación,Tiempo de germinación de café,"Semilla con pergamino: 50-70 días. Semilla sin pergamino: 30-50 días (germina 20 días antes)."
SEMILLA Y ALMÁCIGOS,Germinación,¿Cuándo germina la semilla de café?,"Dependiendo de si tiene pergamino, la semilla germina en 50-70 días (con pergamino) o 30-50 días (sin pergamino)."
SEMILLA Y ALMÁCIGOS,Construcción de Germinador,¿Cómo debe construirse el germinador de café?,"El germinador debe construirse en guadua o estructura durable elevada del suelo. En el fondo se ubica una capa de gravilla de 10 cm de profundidad para drenaje, luego una capa de 20 cm de arena fina cernida. En la parte superior debe colocarse un tendido de latas de guadua como tapa para proteger las semillas germinadas del sol."
SEMILLA Y ALMÁCIGOS,Construcción de Germinador,Construcción del germinador de café,"Use guadua o estructura durable elevada. Base: 10 cm de gravilla (drenaje). Sustrato: 20 cm de arena fina cernida. Tapa: latas de guadua para protección solar."
SEMILLA Y ALMÁCIGOS,Construcción de Germinador,¿Cómo hacer un germinador?,"Construya una estructura elevada de guadua. Coloque 10 cm de gravilla en el fondo, luego 20 cm de arena fina. Cubra con latas de guadua para dar sombra."
SEMILLA Y ALMÁCIGOS,Construcción de Germinador,Estructura del germinador de café,"Germinador elevado de guadua o material durable, con tres capas: gravilla (10 cm) para drenaje, arena fina cernida (20 cm) para sustrato, y cubierta de latas de guadua para sombra."
SEMILLA Y ALMÁCIGOS,Enfermedades del Germinador,¿Qué enfermedad puede afectar el germinador y cómo se controla?,"La enfermedad denominada volcamiento, damping-off o mal del tallito, ocasionada por Rhizoctonia solani. Se controla con alternativas biológicas usando Trichoderma harzianum (Tricho-D) o control químico con tiabendazol (Mertect) a dosis de 10 cm³ en 2 L de agua para 1 m² de germinador, inmediatamente después de sembrada la semilla."
SEMILLA Y ALMÁCIGOS,Enfermedades del Germinador,¿Cómo controlar el volcamiento en germinador?,"El volcamiento (Rhizoctonia solani) se controla con Trichoderma harzianum (Tricho-D) o tiabendazol (Mertect, 10 cm³ en 2 L agua/m²), aplicado inmediatamente después de sembrar."
SEMILLA Y ALMÁCIGOS,Enfermedades del Germinador,Control de damping-off en café,"El damping-off se maneja con control biológico (Trichoderma harzianum - Tricho-D) o químico (tiabendazol/Mertect: 10 cm³/2L agua/m²) aplicado post-siembra."
SEMILLA Y ALMÁCIGOS,Enfermedades del Germinador,¿Qué es el mal del tallito y cómo tratarlo?,"El mal del tallito (volcamiento, causado por Rhizoctonia solani) se trata aplicando Tricho-D o Mertect (10 cm³/2L/m²) justo después de sembrar la semilla."
SEMILLA Y ALMÁCIGOS,Tiempos de Germinador,¿Cuál es el tiempo total de permanencia de las chapolas en el semillero?,"El tiempo total de permanencia de las chapolas en el semillero es de 75 a 80 días."
SEMILLA Y ALMÁCIGOS,Tiempos de Germinador,¿Cuánto dura la etapa de germinador?,"Las chapolas permanecen en el germinador por 75 a 80 días en total."
SEMILLA Y ALMÁCIGOS,Tiempos de Germinador,Duración en el semillero,"La duración total en el semillero (germinador) es de 75-80 días."
SEMILLA Y ALMÁCIGOS,Tiempos de Germinador,¿Por cuántos días están las chapolas en germinador?,"Las chapolas están aproximadamente 75 a 80 días en el germinador antes del trasplante al almácigo."
SEMILLA Y ALMÁCIGOS,Almácigo - Material,¿Qué tamaño de bolsa se recomienda para el almácigo?,"Si se planea mantener el almácigo hasta por 6 meses, es necesario utilizar una bolsa de 17 x 23 cm (aproximadamente 2,0 kg). Cuando se utilizan bolsas de menor tamaño, con capacidad de 1,0 kg, solo permiten un adecuado crecimiento de la raíz durante los primeros 4 meses."
SEMILLA Y ALMÁCIGOS,Almácigo - Material,¿Qué bolsa usar para almácigo de café?,"Para almácigo de 6 meses use bolsa de 17 x 23 cm (2 kg). Bolsas de 1 kg solo sirven para 4 meses."
SEMILLA Y ALMÁCIGOS,Almácigo - Material,Tamaño de bolsa para almácigo,"Bolsa de 17 x 23 cm (2 kg): almácigo hasta 6 meses. Bolsa de 1 kg: máximo 4 meses de adecuado desarrollo radicular."
SEMILLA Y ALMÁCIGOS,Almácigo - Material,¿Qué capacidad de bolsa necesito para el almácigo?,"Necesita bolsas de 2 kg (17 x 23 cm) si el almácigo durará 6 meses. Bolsas de 1 kg solo funcionan adecuadamente por 4 meses."
SEMILLA Y ALMÁCIGOS,Defectos del Almácigo,¿Qué es la 'cola de marrano' en el almácigo?,"La 'cola de marrano' es un doblamiento irreversible en forma de 'L' que se produce cuando la raíz toca el fondo de la bolsa. Almácigos con 'cola de marrano' no son adecuados para el trasplante porque las plantas adultas tendrán menor anclaje y menor capacidad de absorber nutrientes."
SEMILLA Y ALMÁCIGOS,Defectos del Almácigo,Defecto de cola de marrano,"Es un doblamiento permanente en 'L' de la raíz al tocar el fondo de la bolsa. Plantas con este defecto tienen mal anclaje y absorción deficiente de nutrientes."
SEMILLA Y ALMÁCIGOS,Defectos del Almácigo,¿Qué pasa cuando la raíz dobla en la bolsa?,"Cuando la raíz toca el fondo y dobla forma la 'cola de marrano', un defecto permanente que reduce el anclaje de la planta y su capacidad de absorber nutrientes."
SEMILLA Y ALMÁCIGOS,Defectos del Almácigo,¿Por qué es malo el doblamiento de raíz?,"El doblamiento de raíz ('cola de marrano') es irreversible y causa plantas con pobre anclaje y baja capacidad de absorción nutricional en la edad adulta."
SEMILLA Y ALMÁCIGOS,Sanidad del Almácigo,¿Cómo se manejan los nematodos en el almácigo?,"Para el manejo de nematodos se recomienda la aplicación preventiva de productos biológicos basados en Paecylomices lilacinus, Metarhizium anisopliae y Beauveria bassiana (MicosPlag), remojando la chapola en una solución de 2 g/L antes de la siembra y aplicando 50 mL por bolsa luego de una semana. También es posible agregar micorrizas antes de sembrar las chapolas."
SEMILLA Y ALMÁCIGOS,Sanidad del Almácigo,Control preventivo de nematodos en almácigo,"Aplique MicosPlag (Paecylomices, Metarhizium, Beauveria): remoje chapola en 2 g/L pre-siembra y aplique 50 mL/bolsa una semana después. Adicione micorrizas al sustrato."
SEMILLA Y ALMÁCIGOS,Sanidad del Almácigo,¿Cómo prevenir nematodos en café?,"Prevención: remojar chapolas en MicosPlag (2 g/L) antes de plantar, aplicar 50 mL/bolsa después de una semana, e incorporar micorrizas al sustrato."
SEMILLA Y ALMÁCIGOS,Sanidad del Almácigo,Manejo biológico de nematodos,"Use hongos benéficos (MicosPlag con Paecylomices, Metarhizium, Beauveria): inmersión de chapola 2 g/L, drench 50 mL/bolsa a los 7 días, más micorrizas."
NUTRICIÓN,Etapa de Levante,¿Cuáles son las cantidades de nutrientes recomendadas durante la etapa de levante (primeros 18 meses)?,"Las cantidades recomendadas son: nitrógeno 60 g/planta, fósforo-P₂O₅ 15 g/planta, potasio-K₂O 15 g/planta, magnesio-MgO 5 g/planta. Estas dosis pueden distribuirse en tres o cuatro aplicaciones al año, según la cantidad y distribución de lluvia."
NUTRICIÓN,Etapa de Levante,Fertilización en levante del café,"Durante los primeros 18 meses aplique por planta: 60 g N, 15 g P₂O₅, 15 g K₂O, 5 g MgO, divididos en 3-4 aplicaciones anuales según lluvias."
NUTRICIÓN,Etapa de Levante,¿Cuánto fertilizante aplicar en café joven?,"En café joven (0-18 meses): 60 g N, 15 g P₂O₅, 15 g K₂O, 5 g MgO por planta, fraccionado en 3-4 aplicaciones al año."
NUTRICIÓN,Etapa de Levante,Dosis de nutrientes para establecimiento,"Etapa de establecimiento (18 meses): N 60 g/planta, P₂O₅ 15 g/planta, K₂O 15 g/planta, MgO 5 g/planta, en 3-4 aplicaciones."
DENSIDADES Y RENOVACIÓN,Densidad de Siembra,¿Cuál es la densidad de siembra recomendada para variedades de porte bajo?,"Para variedades de porte bajo como Cenicafé 1 o Castillo®, se pueden establecer densidades de hasta 10,000 plantas por hectárea. Por ejemplo, 10,000 sitios con un tallo por sitio en arreglo al rectángulo, a 0,72 m entre plantas y 1,4 m entre surcos."
DENSIDADES Y RENOVACIÓN,Densidad de Siembra,¿Cuántas plantas de porte bajo por hectárea?,"Para variedades de porte bajo (Cenicafé 1, Castillo®) se recomiendan hasta 10,000 plantas/ha, por ejemplo: 0,72 m x 1,4 m en rectángulo."
